0,0,,,,
0.011,0.55,,,,
0.021,0.5,,,, 
0.03,0.47,,,,
0.039,0.46,,,,
0.05,0.46,,,,
0.06,0.46,,,,
0.07,0.46,,,,
0.08,0.46,,,,
0.09,0.46,,,,
0.1,0.46,,,,
0.11,0.47,,,,
0.12,0.47,,,,
0.13,0.47,,,,
0.14,0.47,,,,
0.15,0.47,,,,
0.16,0.47,,,,
0.17,0.47,,,,
0.18,0.47,,,,
0.19,0.47,,,,
0.2,0.47,,,,
0.21,0.47,,,,
0.22,0.47,,,,
0.23,0.48,,,,
0.24,0.48,,,,
0.25,0.48,,,,
0.26,0.48,,,,
0.27,0.48,,,,
0.28,0.49,,,,
0.29,0.49,,,,
0.3,0.49,,,,
0.31,0.49,,,,
0.32,0.49,,,,
0.33,0.5,,,,
0.34,0.5,,,,
0.35,0.5,,,,
0.36,0.5,,,,
0.37,0.5,,,,
0.38,0.51,,,,
0.39,0.51,,,,
0.4,0.51,,,,
0.41,0.51,,,,
0.42,0.51,,,,
0.43,0.52,,,,
0.44,0.52,,,,
0.45,0.53,,,,
0.46,0.53,,,,
0.47,0.53,,,,
0.48,0.54,,,,
0.49,0.54,,,,
0.5,0.54,,,,
0.51,0.55,,,,
0.52,0.55,,,,
0.53,0.55,,,,
0.54,0.56,,,,
0.55,0.56,,,,
0.56,0.56,,,,
0.57,0.57,,,,
0.58,0.57,,,,
0.59,0.58,,,,
0.6,0.58,,,,
0.61,0.59,,,,
0.62,0.59,,,,
0.63,0.6,,,,
